study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
ablation,Full HAT,3945,0,0.0005,60,-98.44110107421875,8708.62793970108,0.11994319991208613,218,15.316666666666666,94.38333333333334,40
ablation,Full HAT,3945,1,0.0005,60,-98.4668960571289,16947.012723207474,0.11104540014639497,241,23.4,80.36666666666666,52
ablation,Full HAT,3945,2,0.0005,60,-97.8454360961914,15399.004039287567,0.09779379982501268,241,21.7,148.98333333333332,48
ablation,Full HAT,3945,3,0.0005,60,-98.5093994140625,20082.827721595764,0.10568640008568764,246,29.166666666666668,139.11666666666667,50
ablation,Full HAT,3945,4,0.0005,60,-98.19293975830078,8552.657138824463,0.08909259992651641,203,11.45,78.15,51
ablation,Full HAT,167104,0,0.0005,60,-92.83413696289062,4630.486740857363,0.09667239990085363,251,29.616666666666667,135.51666666666668,43
ablation,Full HAT,167104,1,0.0005,60,-92.41056823730469,5458.965674221516,0.09895440004765987,243,23.516666666666666,92.35,47
ablation,Full HAT,167104,2,0.0005,60,-90.88872528076172,7383.875466823578,0.10769700002856553,248,32.8,139.0,45
ablation,Full HAT,167104,3,0.0005,60,-91.45904541015625,4631.788559854031,0.09233190002851188,227,19.316666666666666,86.71666666666667,43
ablation,Full HAT,167104,4,0.0005,60,-91.93004608154297,7412.3325425982475,0.10262570017948747,259,34.71666666666667,143.08333333333334,42
ablation,Full HAT,168329,0,0.0005,60,-30.376590728759766,9677.450235843658,0.08397689997218549,227,15.016666666666667,83.01666666666667,44
ablation,Full HAT,168329,1,0.0005,60,-25.69538116455078,10507.650863051414,0.1112502000760287,216,14.2,37.35,51
ablation,Full HAT,168329,2,0.0005,60,-27.238513946533203,18152.429522037506,0.10033180005848408,242,29.066666666666666,139.61666666666667,45
ablation,Full HAT,168329,3,0.0005,60,-30.203336715698242,18783.002743840218,0.09645189996808767,236,24.366666666666667,115.23333333333333,44
ablation,Full HAT,168329,4,0.0005,60,-28.264110565185547,15330.417603135109,0.09885110007598996,245,26.083333333333332,121.6,39
ablation,Full HAT,168908,0,0.0005,60,-81.94775390625,114966.87217855453,0.10071530006825924,245,29.416666666666668,120.58333333333333,38
ablation,Full HAT,168908,1,0.0005,60,-82.07600402832031,141269.1906118393,0.09458509995602071,252,34.81666666666667,132.48333333333332,45
ablation,Full HAT,168908,2,0.0005,60,-79.39112091064453,102622.14196586609,0.1014771000482142,241,28.666666666666668,131.98333333333332,36
ablation,Full HAT,168908,3,0.0005,60,-81.1109619140625,130684.2716832161,0.09771910007111728,255,31.783333333333335,136.3,47
ablation,Full HAT,168908,4,0.0005,60,-80.10111236572266,128093.51906871796,0.08657340006902814,244,29.616666666666667,141.41666666666666,45
ablation,Full HAT,189873,0,0.0005,60,-82.94473266601562,187379.48810863495,0.10401240014471114,242,27.216666666666665,130.6,40
ablation,Full HAT,189873,1,0.0005,60,-74.88462829589844,81462.82141017914,0.10360420006327331,211,13.6,52.3,53
ablation,Full HAT,189873,2,0.0005,60,-80.65772247314453,188492.65937137604,0.10543379979208112,242,29.066666666666666,139.61666666666667,45
ablation,Full HAT,189873,3,0.0005,60,-84.87250518798828,221228.4468574524,0.10175000014714897,236,24.366666666666667,115.23333333333333,44
ablation,Full HAT,189873,4,0.0005,60,-74.27872467041016,105974.76383399963,0.09744179993867874,225,15.8,70.15,37
ablation,No memory,3945,0,0.0005,60,-98.44110107421875,8715.485945224762,0.08920899988152087,218,15.366666666666667,93.73333333333333,40
ablation,No memory,3945,1,0.0005,60,-98.4668960571289,16947.012723207474,0.11669289995916188,241,23.4,80.11666666666666,52
ablation,No memory,3945,2,0.0005,60,-97.8454360961914,15399.004039287567,0.10142960003577173,241,21.7,148.98333333333332,48
ablation,No memory,3945,3,0.0005,60,-98.5093994140625,20093.56793308258,0.09090119996108115,246,29.2,138.95,50
ablation,No memory,3945,4,0.0005,60,-98.19293975830078,8562.44910812378,0.08461900008842349,203,11.5,77.6,51
ablation,No memory,167104,0,0.0005,60,-92.83413696289062,4631.407091408968,0.10917509999126196,251,29.65,135.8,43
ablation,No memory,167104,1,0.0005,60,-92.41056823730469,5458.965674221516,0.09982400014996529,243,23.516666666666666,92.35,47
ablation,No memory,167104,2,0.0005,60,-90.88872528076172,7397.934515476227,0.11226970003917813,248,32.85,139.6,45
ablation,No memory,167104,3,0.0005,60,-91.45904541015625,4631.788559854031,0.09847670001909137,227,19.316666666666666,86.55,43
ablation,No memory,167104,4,0.0005,60,-91.93004608154297,7416.747434794903,0.10772850015200675,259,34.75,143.2,42
ablation,No memory,168329,0,0.0005,60,-30.376590728759766,9720.796099185944,0.10443309997208416,228,15.033333333333333,82.85,44
ablation,No memory,168329,1,0.0005,60,-25.69538116455078,10514.368026137352,0.1182730000000447,216,14.233333333333333,37.43333333333333,51
ablation,No memory,168329,2,0.0005,60,-27.238513946533203,18184.392187595367,0.11966890003532171,242,29.1,139.78333333333333,45
ablation,No memory,168329,3,0.0005,60,-30.203336715698242,18804.29073059559,0.10074159991927445,236,24.416666666666668,115.08333333333333,44
ablation,No memory,168329,4,0.0005,60,-28.264110565185547,15351.389053940773,0.11231480003334582,245,26.166666666666668,120.8,39
ablation,No memory,168908,0,0.0005,60,-81.94775390625,107143.24454641342,0.1053037999663502,242,26.75,112.55,38
ablation,No memory,168908,1,0.0005,60,-82.07600402832031,141303.43603420258,0.10712509998120368,252,34.833333333333336,132.5,45
ablation,No memory,168908,2,0.0005,60,-79.39112091064453,102743.48322868347,0.09920200007036328,241,28.716666666666665,132.05,36
ablation,No memory,168908,3,0.0005,60,-81.1109619140625,130786.47261476517,0.10074539994820952,256,31.816666666666666,136.06666666666666,47
ablation,No memory,168908,4,0.0005,60,-80.10111236572266,128093.51906871796,0.10102439997717738,244,29.616666666666667,141.41666666666666,45
ablation,No memory,189873,0,0.0005,60,-82.94473266601562,187379.48810863495,0.11106540006585419,242,27.216666666666665,130.6,40
ablation,No memory,189873,1,0.0005,60,-74.88462829589844,81492.34095668793,0.10855480004101992,211,13.616666666666667,52.25,53
ablation,No memory,189873,2,0.0005,60,-80.65772247314453,189033.40166568756,0.12437860015779734,242,29.1,139.78333333333333,45
ablation,No memory,189873,3,0.0005,60,-84.87250518798828,221508.22645950317,0.11369369993917644,236,24.416666666666668,115.08333333333333,44
ablation,No memory,189873,4,0.0005,60,-82.17811584472656,281230.8475894928,0.13924179994501173,269,34.61666666666667,159.41666666666666,47
ablation,No elite attraction,3945,0,0.0005,60,-98.43199920654297,6619.273817539215,0.08273939997889102,193,9.75,87.0,36
ablation,No elite attraction,3945,1,0.0005,60,-98.40658569335938,11609.765160799026,0.1064986998680979,225,12.983333333333333,109.31666666666666,52
ablation,No elite attraction,3945,2,0.0005,60,-98.13166046142578,9194.381486415863,0.08477109996601939,214,12.133333333333333,108.85,48
ablation,No elite attraction,3945,3,0.0005,60,-98.29326629638672,9120.568488121033,0.09174459986388683,208,10.9,93.68333333333334,42
ablation,No elite attraction,3945,4,0.0005,60,-98.2247314453125,9867.409214019775,0.09781310008838773,217,12.233333333333333,108.73333333333333,48
ablation,No elite attraction,167104,0,0.0005,60,-90.9146728515625,2487.786926537752,0.09350190008990467,205,11.116666666666667,101.35,45
ablation,No elite attraction,167104,1,0.0005,60,-92.34288787841797,3150.461254298687,0.10290500009432435,212,11.966666666666667,99.71666666666667,46
ablation,No elite attraction,167104,2,0.0005,60,-89.27487182617188,3275.50763297081,0.0831967000849545,212,12.066666666666666,108.65,48
ablation,No elite attraction,167104,3,0.0005,60,-92.05419921875,3160.1884227395058,0.11417680000886321,217,11.85,101.76666666666667,47
ablation,No elite attraction,167104,4,0.0005,60,-90.23696899414062,3171.0199432969093,0.08336549997329712,212,11.466666666666667,99.81666666666666,42
