dataset,algorithm,n_runs,mean_final_error,std_final_error,mean_auc_log_cost,std_auc_log_cost
australian,HAT,10,0.0477491806439174,0.0104863335435215,0.1284223125289607,0.0895537812318015
australian,Hyperband,10,0.0462068633121264,0.0117872232467545,0.1301944916754967,0.0917948118085839
australian,SHA,10,0.0467563138615769,0.0106107670537381,0.1297428734260945,0.0916383684148051
australian,TPE,10,0.0468623481781376,0.0103277528596291,0.1321214823737577,0.0920476533022519
blood_transfusion,HAT,10,0.2587125416204218,0.0126451689786865,0.3663079591320143,0.0513222601577191
blood_transfusion,Hyperband,10,0.2522807991120976,0.0174493071813802,0.3655403422540814,0.04612252005176
blood_transfusion,SHA,10,0.2506381798002219,0.0114341442976188,0.3619636424579762,0.0468244041116565
blood_transfusion,TPE,10,0.2473917869034406,0.0169205934473208,0.3687015262907546,0.0457966471656107
car,HAT,10,0.0,0.0,0.2276666996438464,0.2128245051790287
car,Hyperband,10,0.0,0.0,0.2239539821776663,0.2083757258925439
car,SHA,10,0.0,0.0,0.2237891878819856,0.208513047291985
car,TPE,10,0.0,0.0,0.2247166619032962,0.2083224131073896
phoneme,HAT,10,0.0586116447050628,0.0044324947031136,0.2163999949772768,0.1175293796038695
phoneme,Hyperband,10,0.0521346566463338,0.0054646673525218,0.2107276945410628,0.1091032492012197
phoneme,SHA,10,0.0528272054280546,0.0037777798958231,0.2076125996559377,0.1097378274349025
phoneme,TPE,10,0.052810916770577,0.002840145137543,0.2143488344171181,0.1096009999272064
vehicle,HAT,10,0.0332661782661782,0.010457394118724,0.2380611667877501,0.1858039405669475
vehicle,Hyperband,10,0.0316813600711905,0.0111929748392895,0.2387887548334215,0.1857831692560847
vehicle,SHA,10,0.0312698412698412,0.0096431100385223,0.2374977667363292,0.1857350658578331
vehicle,TPE,10,0.0316813600711905,0.0097177486606675,0.2419626259052154,0.1878404972583121
