algorithm,instance,seed,final_best_error,total_cost
asha,3945,0,-98.5204086303711,90456.49295592308
asha,3945,1,-98.5994110107422,115065.29208016396
asha,3945,2,-98.5340805053711,100205.78469610214
asha,3945,3,-98.5397720336914,97963.50398731232
asha,3945,4,-98.5397720336914,97500.64610779284
asha,3945,5,-98.42288970947266,110367.10609054564
asha,3945,6,-98.50902557373048,100430.13123083116
asha,3945,7,-98.42933654785156,91912.33570694923
asha,3945,8,-98.33304595947266,98427.66753029823
asha,3945,9,-98.4160614013672,92656.51330280304
asha,7593,0,-76.23754119873047,521810.6971797943
asha,7593,1,-75.6636734008789,673281.9328680038
asha,7593,2,-75.57569122314453,640461.430968523
asha,7593,3,-77.98341369628906,568510.8861241341
asha,7593,4,-76.57372283935547,536912.8441061974
asha,7593,5,-74.71590423583984,670033.1720929146
asha,7593,6,-76.91923522949219,562911.4231295586
asha,7593,7,-76.42737579345703,507666.7435193062
asha,7593,8,-78.12394714355469,553432.2544927597
asha,7593,9,-76.97067260742188,581916.7812781334
asha,34539,0,-97.67363739013672,50958.4448479414
asha,34539,1,-97.78511810302734,62568.98273038864
asha,34539,2,-97.52694702148438,57656.75084495544
asha,34539,3,-97.6205825805664,52823.330407738686
asha,34539,4,-97.6706314086914,52717.56948649883
asha,34539,5,-97.52544403076172,61981.111426353455
asha,34539,6,-97.7286148071289,54997.27780652046
asha,34539,7,-97.44467163085938,52305.78797549009
asha,34539,8,-97.40825653076172,50416.57474517822
asha,34539,9,-97.7180633544922,51153.99572074413
asha,126025,0,-87.97875213623047,57090.89149582386
asha,126025,1,-91.02904510498048,69665.5743393898
asha,126025,2,-89.21049499511719,65399.50534844399
asha,126025,3,-88.84371185302734,58691.04487848282
asha,126025,4,-90.64403533935548,57898.52692234516
asha,126025,5,-90.4027862548828,71346.45815551281
asha,126025,6,-91.24907684326172,65452.13403582573
asha,126025,7,-92.1909637451172,57870.19684243202
asha,126025,8,-91.14637756347656,58748.5699903965
asha,126025,9,-90.03289031982422,61214.11794614792
asha,126026,0,-96.79788208007812,59217.89815807343
asha,126026,1,-97.10839080810548,69234.95626795292
asha,126026,2,-96.87364196777344,66440.95020115376
asha,126026,3,-96.55941009521484,58202.93565130234
asha,126026,4,-97.09080505371094,59144.57955312729
asha,126026,5,-96.8833465576172,68766.5745138526
asha,126026,6,-97.57544708251952,63798.15261888504
asha,126026,7,-97.5750732421875,59190.37703633309
