dataset,algorithm,n_runs,mean_final_error,std_final_error,mean_auc_log_cost,std_auc_log_cost
australian,hagfish,10,0.047749180643917435,0.010486333543521544,0.1284223125289607,0.08955378123180151
australian,hyperband,10,0.0462068633121264,0.011787223246754568,0.13019449167549677,0.09179481180858391
australian,sha,10,0.046756313861576984,0.010610767053738137,0.12974287342609458,0.0916383684148051
australian,tpe,10,0.04686234817813762,0.010327752859629113,0.13212148237375776,0.09204765330225192
blood_transfusion,hagfish,10,0.2587125416204218,0.01264516897868653,0.3663079591320143,0.051322260157719166
blood_transfusion,hyperband,10,0.25228079911209766,0.01744930718138024,0.3655403422540814,0.046122520051760096
blood_transfusion,sha,10,0.25063817980022196,0.011434144297618869,0.36196364245797624,0.04682440411165659
blood_transfusion,tpe,10,0.24739178690344063,0.01692059344732085,0.3687015262907546,0.045796647165610715
car,hagfish,10,0.0,0.0,0.22766669964384648,0.2128245051790287
car,hyperband,10,0.0,0.0,0.22395398217766638,0.20837572589254394
car,sha,10,0.0,0.0,0.22378918788198568,0.20851304729198503
car,tpe,10,0.0,0.0,0.22471666190329623,0.20832241310738966
phoneme,hagfish,10,0.058611644705062894,0.004432494703113676,0.2163999949772768,0.11752937960386953
phoneme,hyperband,10,0.052134656646333856,0.005464667352521875,0.21072769454106285,0.10910324920121979
phoneme,sha,10,0.052827205428054635,0.003777779895823136,0.20761259965593779,0.10973782743490257
phoneme,tpe,10,0.05281091677057702,0.002840145137543037,0.21434883441711813,0.10960099992720641
vehicle,hagfish,10,0.03326617826617823,0.010457394118724057,0.23806116678775013,0.1858039405669475
vehicle,hyperband,10,0.03168136007119054,0.011192974839289516,0.23878875483342155,0.18578316925608473
vehicle,sha,10,0.03126984126984123,0.009643110038522362,0.23749776673632922,0.18573506585783314
vehicle,tpe,10,0.031681360071190524,0.009717748660667526,0.2419626259052154,0.18784049725831217
