dataset,algorithm,mean_auc_log_cost,rank
australian,hagfish,0.1284223125289607,1.0
australian,sha,0.12974287342609458,2.0
australian,hyperband,0.13019449167549677,3.0
australian,tpe,0.13212148237375776,4.0
blood_transfusion,sha,0.36196364245797624,1.0
blood_transfusion,hyperband,0.3655403422540814,2.0
blood_transfusion,hagfish,0.3663079591320143,3.0
blood_transfusion,tpe,0.3687015262907546,4.0
car,sha,0.22378918788198568,1.0
car,hyperband,0.22395398217766638,2.0
car,tpe,0.22471666190329623,3.0
car,hagfish,0.22766669964384648,4.0
phoneme,sha,0.20761259965593779,1.0
phoneme,hyperband,0.21072769454106285,2.0
phoneme,tpe,0.21434883441711813,3.0
phoneme,hagfish,0.2163999949772768,4.0
vehicle,sha,0.23749776673632922,1.0
vehicle,hagfish,0.23806116678775013,2.0
vehicle,hyperband,0.23878875483342155,3.0
vehicle,tpe,0.2419626259052154,4.0
