dataset,algorithm,seed,final_error,auc_log_cost
australian,hagfish,0,0.03841334104492,0.07092485406691973
australian,hagfish,1,0.060391363022942,0.2628872523510434
australian,hagfish,2,0.0373048004626952,0.1619163220370185
australian,hagfish,3,0.0340273761326392,0.0714311081347092
australian,hagfish,4,0.0537883169462116,0.0993476799768845
australian,hagfish,5,0.0526797763639868,0.0655052418012449
australian,hagfish,6,0.0548968575284365,0.309917421759527
australian,hagfish,7,0.0340273761326392,0.11559298767450722
australian,hagfish,8,0.0537883169462116,0.05863010379235144
australian,hagfish,9,0.0581742818584923,0.06807015369540095
australian,hyperband,0,0.0329188355504145,0.07394027289159853
australian,hyperband,1,0.0537883169462116,0.26806968259283254
australian,hyperband,2,0.0340273761326392,0.15765574288526404
australian,hyperband,3,0.0285328706381338,0.0722019044140136
australian,hyperband,4,0.0526797763639868,0.09941949291969071
australian,hyperband,5,0.0526797763639868,0.06608723466657769
australian,hyperband,6,0.0581742818584923,0.31901030530828706
australian,hyperband,7,0.0361962598804703,0.11632023716511249
australian,hyperband,8,0.0537883169462116,0.059905583797550455
australian,hyperband,9,0.0592828224407171,0.06933446011404057
australian,sha,0,0.0373048004626952,0.07510637254404563
australian,sha,1,0.0581742818584923,0.2674592423800971
australian,sha,2,0.0329188355504145,0.15536346650315783
australian,sha,3,0.0329188355504145,0.07265977987188905
australian,sha,4,0.0526797763639868,0.09923081030124949
australian,sha,5,0.0406304222093696,0.06364221233631595
australian,sha,6,0.0581742818584923,0.3184161120943867
australian,sha,7,0.0427993059572007,0.11726238190424974
australian,sha,8,0.0526797763639868,0.0590226288682956
australian,sha,9,0.0592828224407171,0.06926572745725885
australian,tpe,0,0.0373048004626952,0.07814945354517967
australian,tpe,1,0.0537883169462116,0.2732497573217795
australian,tpe,2,0.0329188355504145,0.1594395908800341
australian,tpe,3,0.0329188355504145,0.07375527453683366
australian,tpe,4,0.0526797763639868,0.10050979337682932
australian,tpe,5,0.0515712357817621,0.06877789470785112
australian,tpe,6,0.0581742818584923,0.31949747368227777
australian,tpe,7,0.03841334104492,0.1167182584376886
australian,tpe,8,0.0515712357817621,0.060463417556808834
australian,tpe,9,0.0592828224407171,0.07065390969229506
blood_transfusion,hagfish,0,0.2682019977802441,0.3599675520655134
blood_transfusion,hagfish,1,0.2563263041065482,0.4261418668758467
blood_transfusion,hagfish,2,0.2787458379578247,0.38628688814155254
blood_transfusion,hagfish,3,0.2610987791342952,0.37758004890138774
blood_transfusion,hagfish,4,0.2569367369589346,0.41167318963335087
blood_transfusion,hagfish,5,0.2693118756936736,0.3424248746171755
blood_transfusion,hagfish,6,0.25338512763596,0.41179168787673964
blood_transfusion,hagfish,7,0.258157602663707,0.38463236337235995
blood_transfusion,hagfish,8,0.2539955604883464,0.28722263483347665
blood_transfusion,hagfish,9,0.2309655937846837,0.2753584850027399
blood_transfusion,hyperband,0,0.2516648168701443,0.35759897802219204
blood_transfusion,hyperband,1,0.2416204217536071,0.408912264011861
blood_transfusion,hyperband,2,0.2764150943396226,0.3893222234276034
blood_transfusion,hyperband,3,0.2481132075471698,0.3728020105758291
blood_transfusion,hyperband,4,0.2645394006659267,0.4199322529408983
blood_transfusion,hyperband,5,0.2787458379578247,0.34882336251283036
blood_transfusion,hyperband,6,0.2280244173140955,0.3981747515292115
blood_transfusion,hyperband,7,0.2422308546059933,0.38306413926047095
blood_transfusion,hyperband,8,0.2598779134295228,0.29420457358713104
blood_transfusion,hyperband,9,0.2315760266370699,0.2825688666727863
blood_transfusion,sha,0,0.2457824639289678,0.3542409714630639
blood_transfusion,sha,1,0.2481132075471698,0.4080622616474594
blood_transfusion,sha,2,0.2563263041065482,0.3849123363347325
blood_transfusion,sha,3,0.2481132075471698,0.3684775201043674
blood_transfusion,sha,4,0.2569367369589346,0.4119698524891586
blood_transfusion,sha,5,0.260488346281909,0.3415498374126214
blood_transfusion,sha,6,0.2280244173140955,0.3981747515292115
blood_transfusion,sha,7,0.2617092119866815,0.38427366974595206
blood_transfusion,sha,8,0.2634295227524972,0.29077285333199815
blood_transfusion,sha,9,0.2374583795782463,0.2772023705211975
blood_transfusion,tpe,0,0.2457824639289678,0.3611653300843674
blood_transfusion,tpe,1,0.2475027746947835,0.4175993535447942
blood_transfusion,tpe,2,0.248723640399556,0.3853598341024592
blood_transfusion,tpe,3,0.2539955604883464,0.3779653072748464
blood_transfusion,tpe,4,0.2321864594894561,0.42037557823526633
blood_transfusion,tpe,5,0.2716426193118757,0.3533225405355787
blood_transfusion,tpe,6,0.2280244173140955,0.3981747515292115
blood_transfusion,tpe,7,0.2669811320754717,0.38933272415222303
blood_transfusion,tpe,8,0.2598779134295228,0.29708413653445487
blood_transfusion,tpe,9,0.2192008879023308,0.28663570691434465
car,hagfish,0,0.0,0.09023504484896448
car,hagfish,1,0.0,0.5101154750912369
car,hagfish,2,0.0,0.3449982778583886
car,hagfish,3,0.0,0.05884049487754471
car,hagfish,4,0.0,0.451128643978367
car,hagfish,5,0.0,0.008123607630186599
car,hagfish,6,0.0,0.45123994196016365
car,hagfish,7,0.0,0.35764534691993144
car,hagfish,8,0.0,0.0008719715956557503
car,hagfish,9,0.0,0.003468191678025472
car,hyperband,0,0.0,0.100155038546659
car,hyperband,1,0.0,0.4530970151988158
car,hyperband,2,0.0,0.3206163251696492
car,hyperband,3,0.0,0.05468317174515233
car,hyperband,4,0.0,0.4503393901420217
car,hyperband,5,0.0,0.008879792683463072
car,hyperband,6,0.0,0.49223387415908193
car,hyperband,7,0.0,0.3550113862873558
car,hyperband,8,0.0,0.0010547201336674342
