dataset,algorithm,mean_final_error,rank
australian,hyperband,0.0462068633121264,1.0
australian,sha,0.046756313861576984,2.0
australian,tpe,0.04686234817813762,3.0
australian,hagfish,0.047749180643917435,4.0
blood_transfusion,tpe,0.24739178690344063,1.0
blood_transfusion,sha,0.25063817980022196,2.0
blood_transfusion,hyperband,0.25228079911209766,3.0
blood_transfusion,hagfish,0.2587125416204218,4.0
car,hagfish,0.0,2.5
car,hyperband,0.0,2.5
car,sha,0.0,2.5
car,tpe,0.0,2.5
phoneme,hyperband,0.052134656646333856,1.0
phoneme,tpe,0.05281091677057702,2.0
phoneme,sha,0.052827205428054635,3.0
phoneme,hagfish,0.058611644705062894,4.0
vehicle,sha,0.03126984126984123,1.0
vehicle,tpe,0.031681360071190524,2.0
vehicle,hyperband,0.03168136007119054,3.0
vehicle,hagfish,0.03326617826617823,4.0
