algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
bohb,lcbench,167184,5,1,1,1.0,-46.01997756958008,6.633638381958008,6.633638381958008,-46.01997756958008,"{""OpenML_task_id"": ""167184"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
bohb,lcbench,167184,5,1,2,3.0,-61.36327362060547,14.239081382751465,20.872719764709473,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
bohb,lcbench,167184,5,1,3,9.0,-59.826324462890625,47.808170318603516,68.68089008331299,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
bohb,lcbench,167184,5,1,4,27.0,-58.31435775756836,171.33316040039062,240.0140504837036,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
bohb,lcbench,167184,5,1,5,52.0,-60.60369110107422,343.4345397949219,583.4485902786255,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
bohb,lcbench,167184,5,2,1,1.0,-41.45835494995117,3.4723737239837646,586.9209640026093,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 86, ""learning_rate"": 0.09385616232568131, ""max_dropout"": 0.8082816830332671, ""max_units"": 387, ""momentum"": 0.8293307858166485, ""num_layers"": 4, ""weight_decay"": 0.07643961714003163}"
bohb,lcbench,167184,5,3,1,1.0,-43.143978118896484,4.539144039154053,591.4601080417633,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 23, ""learning_rate"": 0.0004096983769731035, ""max_dropout"": 0.11909535747826039, ""max_units"": 730, ""momentum"": 0.5660710077438924, ""num_layers"": 2, ""weight_decay"": 0.05999692037053252}"
bohb,lcbench,167184,5,3,2,3.0,-52.155765533447266,11.75692367553711,603.2170317173004,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 23, ""learning_rate"": 0.0004096983769731035, ""max_dropout"": 0.11909535747826039, ""max_units"": 730, ""momentum"": 0.5660710077438924, ""num_layers"": 2, ""weight_decay"": 0.05999692037053252}"
bohb,lcbench,167184,5,4,1,1.0,-58.713356018066406,2.2717347145080566,605.4887664318085,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 40, ""learning_rate"": 0.0007145911642048778, ""max_dropout"": 0.2535882057737875, ""max_units"": 159, ""momentum"": 0.2283062275815442, ""num_layers"": 5, ""weight_decay"": 0.095801770312439}"
bohb,lcbench,167184,5,4,2,3.0,-56.817474365234375,6.5443925857543945,612.0331590175629,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 40, ""learning_rate"": 0.0007145911642048778, ""max_dropout"": 0.2535882057737875, ""max_units"": 159, ""momentum"": 0.2283062275815442, ""num_layers"": 5, ""weight_decay"": 0.095801770312439}"
bohb,lcbench,167184,5,4,3,9.0,-57.21173095703125,14.010388374328613,626.0435473918915,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 40, ""learning_rate"": 0.0007145911642048778, ""max_dropout"": 0.2535882057737875, ""max_units"": 159, ""momentum"": 0.2283062275815442, ""num_layers"": 5, ""weight_decay"": 0.095801770312439}"
bohb,lcbench,167184,5,5,1,1.0,-58.58479690551758,11.052716255187988,637.0962636470795,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 112, ""learning_rate"": 0.00018691583131185476, ""max_dropout"": 0.9959889130615186, ""max_units"": 240, ""momentum"": 0.7095748906050682, ""num_layers"": 5, ""weight_decay"": 0.0023030799129837576}"
bohb,lcbench,167184,5,5,2,3.0,-55.930870056152344,24.665538787841797,661.7618024349213,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 112, ""learning_rate"": 0.00018691583131185476, ""max_dropout"": 0.9959889130615186, ""max_units"": 240, ""momentum"": 0.7095748906050682, ""num_layers"": 5, ""weight_decay"": 0.0023030799129837576}"
bohb,lcbench,167184,5,6,1,1.0,-43.80451965332031,4.933778762817383,666.6955811977386,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 33, ""learning_rate"": 0.0035649141022154993, ""max_dropout"": 0.7452994338219898, ""max_units"": 238, ""momentum"": 0.26524919991520124, ""num_layers"": 4, ""weight_decay"": 0.06761190229173848}"
bohb,lcbench,167184,5,7,1,1.0,-60.79598617553711,2.9550251960754395,669.6506063938141,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 315, ""learning_rate"": 0.0007767599191165102, ""max_dropout"": 0.8360396812285091, ""max_units"": 349, ""momentum"": 0.42989689250374274, ""num_layers"": 1, ""weight_decay"": 0.09130267396029347}"
bohb,lcbench,167184,5,7,2,3.0,-58.835689544677734,9.602466583251953,679.253072977066,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 315, ""learning_rate"": 0.0007767599191165102, ""max_dropout"": 0.8360396812285091, ""max_units"": 349, ""momentum"": 0.42989689250374274, ""num_layers"": 1, ""weight_decay"": 0.09130267396029347}"
bohb,lcbench,167184,5,7,3,9.0,-58.0963020324707,17.329227447509766,696.5823004245758,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 315, ""learning_rate"": 0.0007767599191165102, ""max_dropout"": 0.8360396812285091, ""max_units"": 349, ""momentum"": 0.42989689250374274, ""num_layers"": 1, ""weight_decay"": 0.09130267396029347}"
bohb,lcbench,167184,5,7,4,27.0,-58.58445358276367,35.87568664550781,732.4579870700836,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 315, ""learning_rate"": 0.0007767599191165102, ""max_dropout"": 0.8360396812285091, ""max_units"": 349, ""momentum"": 0.42989689250374274, ""num_layers"": 1, ""weight_decay"": 0.09130267396029347}"
bohb,lcbench,167184,5,7,5,52.0,-56.88180160522461,70.68585968017578,803.1438467502594,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 315, ""learning_rate"": 0.0007767599191165102, ""max_dropout"": 0.8360396812285091, ""max_units"": 349, ""momentum"": 0.42989689250374274, ""num_layers"": 1, ""weight_decay"": 0.09130267396029347}"
bohb,lcbench,167184,5,8,1,1.0,-47.14705276489258,7.725509166717529,810.8693559169769,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 234, ""learning_rate"": 0.00017870878686745766, ""max_dropout"": 0.36494414545558074, ""max_units"": 292, ""momentum"": 0.775854979626237, ""num_layers"": 3, ""weight_decay"": 0.017974904379606384}"
bohb,lcbench,167184,5,9,1,1.0,-56.95913314819336,3.5281527042388916,814.3975086212158,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 209, ""learning_rate"": 0.007226837606817438, ""max_dropout"": 0.6997675782166826, ""max_units"": 91, ""momentum"": 0.9003043229447518, ""num_layers"": 5, ""weight_decay"": 0.07757120040918432}"
bohb,lcbench,167184,5,9,2,3.0,-57.378849029541016,6.688023090362549,821.0855317115784,-61.36327362060547,"{""OpenML_task_id"": ""167184"", ""batch_size"": 209, ""learning_rate"": 0.007226837606817438, ""max_dropout"": 0.6997675782166826, ""max_units"": 91, ""momentum"": 0.9003043229447518, ""num_layers"": 5, ""weight_decay"": 0.07757120040918432}"
bohb,lcbench,167184,5,9,3,9.0,-63.983497619628906,12.115302085876465,833.2008337974548,-63.983497619628906,"{""OpenML_task_id"": ""167184"", ""batch_size"": 209, ""learning_rate"": 0.007226837606817438, ""max_dropout"": 0.6997675782166826, ""max_units"": 91, ""momentum"": 0.9003043229447518, ""num_layers"": 5, ""weight_decay"": 0.07757120040918432}"
bohb,lcbench,167184,5,9,4,27.0,-69.9050064086914,27.216022491455078,860.4168562889099,-69.9050064086914,"{""OpenML_task_id"": ""167184"", ""batch_size"": 209, ""learning_rate"": 0.007226837606817438, ""max_dropout"": 0.6997675782166826, ""max_units"": 91, ""momentum"": 0.9003043229447518, ""num_layers"": 5, ""weight_decay"": 0.07757120040918432}"
bohb,lcbench,167184,5,9,5,52.0,-73.57161712646484,52.41271209716797,912.8295683860779,-73.57161712646484,"{""OpenML_task_id"": ""167184"", ""batch_size"": 209, ""learning_rate"": 0.007226837606817438, ""max_dropout"": 0.6997675782166826, ""max_units"": 91, ""momentum"": 0.9003043229447518, ""num_layers"": 5, ""weight_decay"": 0.07757120040918432}"
bohb,lcbench,167184,5,10,1,1.0,-39.36387252807617,6.278048515319824,919.1076169013977,-73.57161712646484,"{""OpenML_task_id"": ""167184"", ""batch_size"": 19, ""learning_rate"": 0.0006950869022449192, ""max_dropout"": 0.9810449993316016, ""max_units"": 278, ""momentum"": 0.8925013167540052, ""num_layers"": 3, ""weight_decay"": 0.0616529533747178}"
