algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,189865,0,1,1,1.0,-51.84934616088867,5.543162822723389,5.543162822723389,-51.84934616088867,"{""OpenML_task_id"": ""189865"", ""batch_size"": 107, ""learning_rate"": 0.013981961408994055, ""max_dropout"": 0.6027633760716439, ""max_units"": 290, ""momentum"": 0.47705277141162516, ""num_layers"": 3, ""weight_decay"": 0.04376434525415663}"
asha,lcbench,189865,0,1,2,3.0,-73.81180572509766,16.439556121826172,21.98271894454956,-73.81180572509766,"{""OpenML_task_id"": ""189865"", ""batch_size"": 107, ""learning_rate"": 0.013981961408994055, ""max_dropout"": 0.6027633760716439, ""max_units"": 290, ""momentum"": 0.47705277141162516, ""num_layers"": 3, ""weight_decay"": 0.04376434525415663}"
asha,lcbench,189865,0,1,3,9.0,-84.28195190429688,29.338409423828125,51.321128368377686,-84.28195190429688,"{""OpenML_task_id"": ""189865"", ""batch_size"": 107, ""learning_rate"": 0.013981961408994055, ""max_dropout"": 0.6027633760716439, ""max_units"": 290, ""momentum"": 0.47705277141162516, ""num_layers"": 3, ""weight_decay"": 0.04376434525415663}"
asha,lcbench,189865,0,1,4,27.0,-89.07947540283203,44.67758560180664,95.99871397018433,-89.07947540283203,"{""OpenML_task_id"": ""189865"", ""batch_size"": 107, ""learning_rate"": 0.013981961408994055, ""max_dropout"": 0.6027633760716439, ""max_units"": 290, ""momentum"": 0.47705277141162516, ""num_layers"": 3, ""weight_decay"": 0.04376434525415663}"
asha,lcbench,189865,0,1,5,52.0,-90.16703796386719,84.6291732788086,180.62788724899292,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 107, ""learning_rate"": 0.013981961408994055, ""max_dropout"": 0.6027633760716439, ""max_units"": 290, ""momentum"": 0.47705277141162516, ""num_layers"": 3, ""weight_decay"": 0.04376434525415663}"
asha,lcbench,189865,0,2,1,1.0,-54.25606918334961,7.892845630645752,188.52073287963867,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 352, ""learning_rate"": 0.07780155576901421, ""max_dropout"": 0.3834415188257777, ""max_units"": 575, ""momentum"": 0.570716478580085, ""num_layers"": 1, ""weight_decay"": 0.03928455176212197}"
asha,lcbench,189865,0,2,2,3.0,-84.41185760498047,13.103981971740723,201.6247148513794,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 352, ""learning_rate"": 0.07780155576901421, ""max_dropout"": 0.3834415188257777, ""max_units"": 575, ""momentum"": 0.570716478580085, ""num_layers"": 1, ""weight_decay"": 0.03928455176212197}"
asha,lcbench,189865,0,2,3,9.0,-88.35392761230469,17.154918670654297,218.7796335220337,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 352, ""learning_rate"": 0.07780155576901421, ""max_dropout"": 0.3834415188257777, ""max_units"": 575, ""momentum"": 0.570716478580085, ""num_layers"": 1, ""weight_decay"": 0.03928455176212197}"
asha,lcbench,189865,0,2,4,27.0,-89.76416015625,25.298625946044922,244.0782594680786,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 352, ""learning_rate"": 0.07780155576901421, ""max_dropout"": 0.3834415188257777, ""max_units"": 575, ""momentum"": 0.570716478580085, ""num_layers"": 1, ""weight_decay"": 0.03928455176212197}"
asha,lcbench,189865,0,2,5,52.0,-89.2624740600586,38.63534164428711,282.7136011123657,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 352, ""learning_rate"": 0.07780155576901421, ""max_dropout"": 0.3834415188257777, ""max_units"": 575, ""momentum"": 0.570716478580085, ""num_layers"": 1, ""weight_decay"": 0.03928455176212197}"
asha,lcbench,189865,0,3,1,1.0,-61.666133880615234,4.763653755187988,287.4772548675537,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 290, ""learning_rate"": 0.0010284625479837638, ""max_dropout"": 0.6481718720511972, ""max_units"": 178, ""momentum"": 0.9518680914682113, ""num_layers"": 1, ""weight_decay"": 0.09786204803985407}"
asha,lcbench,189865,0,3,2,3.0,-64.89789581298828,14.437095642089844,301.91435050964355,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 290, ""learning_rate"": 0.0010284625479837638, ""max_dropout"": 0.6481718720511972, ""max_units"": 178, ""momentum"": 0.9518680914682113, ""num_layers"": 1, ""weight_decay"": 0.09786204803985407}"
asha,lcbench,189865,0,4,1,1.0,-50.288063049316406,3.7164061069488525,305.6307566165924,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 255, ""learning_rate"": 0.0024234724484675954, ""max_dropout"": 0.7805291762864555, ""max_units"": 89, ""momentum"": 0.6695297089814962, ""num_layers"": 2, ""weight_decay"": 0.05374194921260658}"
asha,lcbench,189865,0,5,1,1.0,-63.109527587890625,2.411181688308716,308.0419383049011,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 222, ""learning_rate"": 0.00020783697921338164, ""max_dropout"": 0.4736004193466574, ""max_units"": 107, ""momentum"": 0.7558571776447727, ""num_layers"": 5, ""weight_decay"": 0.056847710547376175}"
asha,lcbench,189865,0,5,2,3.0,-64.1068115234375,6.515108585357666,314.5570468902588,-90.16703796386719,"{""OpenML_task_id"": ""189865"", ""batch_size"": 222, ""learning_rate"": 0.00020783697921338164, ""max_dropout"": 0.4736004193466574, ""max_units"": 107, ""momentum"": 0.7558571776447727, ""num_layers"": 5, ""weight_decay"": 0.056847710547376175}"
