study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
ablation,Full HAT,126025,0,0.0005,200,-86.82913208007812,46016.3792001009,0.6461650999262929,897,39.76,161.65,180
ablation,Full HAT,126025,1,0.0005,200,-91.02904510498047,63778.31988477707,0.7043767999857664,957,46.54,179.92,181
ablation,Full HAT,126025,2,0.0005,200,-89.21049499511719,56387.28473329544,0.6365062999539077,952,44.94,181.735,178
ablation,Full HAT,126025,3,0.0005,200,-88.84371185302734,48973.772451877594,0.586723499931395,938,43.76,175.68,178
ablation,Full HAT,126025,4,0.0005,200,-89.06985473632812,35502.25623857975,0.6197903000283986,828,28.44,129.275,188
ablation,Full HAT,126025,5,0.0005,200,-90.40278625488281,61611.765787005424,0.6611174000427127,956,45.73,177.035,178
ablation,Full HAT,126025,6,0.0005,200,-88.93561553955078,58701.553397893906,0.6445212999824435,960,45.05,170.53,185
ablation,Full HAT,126025,7,0.0005,200,-92.19096374511719,50282.876950502396,0.6698084000963718,952,44.66,175.13,180
ablation,Full HAT,126025,8,0.0005,200,-91.14637756347656,43691.50673699379,0.6052113000769168,917,38.925,163.68,179
ablation,Full HAT,126025,9,0.0005,200,-90.03289031982422,55670.42151594162,0.6419246001169086,954,46.085,181.07,181
ablation,Full HAT,126026,0,0.0005,200,-96.12198638916016,18141.407129764557,0.5258379001170397,749,14.39,78.92,192
ablation,Full HAT,126026,1,0.0005,200,-96.95693969726562,54165.681270718575,0.6383549999445677,923,39.81,167.0,190
ablation,Full HAT,126026,2,0.0005,200,-96.87364196777344,58148.8258947134,0.6080839999485761,932,43.09,175.49,182
ablation,Full HAT,126026,3,0.0005,200,-96.11976623535156,42341.72251176834,0.562223199987784,892,37.165,147.54,191
ablation,Full HAT,126026,4,0.0005,200,-96.61040496826172,41205.41419172287,0.5538870999589562,862,34.145,148.225,183
ablation,Full HAT,126026,5,0.0005,200,-96.88334655761719,55513.28010028601,0.6734865999314934,947,42.155,162.285,184
ablation,Full HAT,126026,6,0.0005,200,-96.06790924072266,43302.72168016434,0.6298343001399189,891,35.56,169.1,187
ablation,Full HAT,126026,7,0.0005,200,-96.14569854736328,20044.309901475906,0.6673526999074966,777,17.34,90.77,192
ablation,Full HAT,126026,8,0.0005,200,-97.53258514404297,42312.31327366829,0.6270694001577795,913,38.85,160.505,190
ablation,Full HAT,126026,9,0.0005,200,-96.67707824707031,53880.886609733105,0.5758042000234127,959,45.9,182.53,187
ablation,Full HAT,126029,0,0.0005,200,-93.14822387695312,48363.877074718475,0.6079706000164151,939,42.955,162.775,182
ablation,Full HAT,126029,1,0.0005,200,-92.48506927490234,62596.48872196674,0.6919280998408794,953,44.6,167.23,183
ablation,Full HAT,126029,2,0.0005,200,-92.5303726196289,51741.35401701927,0.7100760999601334,915,39.24,155.36,176
ablation,Full HAT,126029,3,0.0005,200,-92.1771011352539,49751.4295579195,0.6570791001431644,947,45.155,179.21,181
ablation,Full HAT,126029,4,0.0005,200,-92.78868865966797,43174.39214730263,0.5998112000524998,887,36.51,154.555,179
ablation,Full HAT,126029,5,0.0005,200,-92.91399383544922,62303.30603957176,0.6190230001229793,957,46.085,170.41,185
ablation,Full HAT,126029,6,0.0005,200,-92.44371032714844,56296.40789413452,0.6071512999478728,956,44.465,168.55,182
ablation,Full HAT,126029,7,0.0005,200,-92.72216033935547,48806.2299567461,0.6592085999436677,952,43.435,172.36,186
ablation,Full HAT,126029,8,0.0005,200,-92.17283630371094,48670.03611660004,0.6418840000405908,929,42.58,166.15,166
ablation,Full HAT,126029,9,0.0005,200,-92.71143341064453,48932.06876039505,0.5827589000109583,911,40.455,162.045,184
ablation,Full HAT,146212,0,0.0005,200,-97.90766906738281,72700.23149204254,0.592495399992913,944,44.785,176.06,178
ablation,Full HAT,146212,1,0.0005,200,-97.59725952148438,86164.24066257477,0.6215828999411315,936,43.19,171.025,181
ablation,Full HAT,146212,2,0.0005,200,-97.7900161743164,76928.60497713089,0.6519478000700474,928,41.86,169.23,180
ablation,Full HAT,146212,3,0.0005,200,-97.03431701660156,66346.7690615654,0.6982619999907911,940,43.32,178.48,182
ablation,Full HAT,146212,4,0.0005,200,-97.6525650024414,74788.21367573738,0.6106795999221504,944,45.655,180.015,182
ablation,Full HAT,146212,5,0.0005,200,-97.38497924804688,75294.82699108124,0.7616703999228776,930,37.765,145.6,173
ablation,Full HAT,146212,6,0.0005,200,-97.5040283203125,79431.54854869843,0.6159551001619548,964,47.265,183.575,183
ablation,Full HAT,146212,7,0.0005,200,-97.28932189941406,55884.264234781265,0.5771933000069112,892,36.23,147.89,186
ablation,Full HAT,146212,8,0.0005,200,-97.0088882446289,71054.21038579941,0.7497268000151962,931,42.9,166.69,185
ablation,Full HAT,146212,9,0.0005,200,-97.80245971679688,70069.96386861801,0.6739976000972092,931,42.07,168.455,173
ablation,Full HAT,167104,0,0.0005,200,-92.83413696289062,27099.47436913848,0.621174099855125,951,45.285,180.655,183
ablation,Full HAT,167104,1,0.0005,200,-92.41056823730469,27030.60987329483,0.6115238000638783,922,30.6,115.9,187
ablation,Full HAT,167104,2,0.0005,200,-93.05524444580078,32446.274753153324,0.6423351000994444,940,45.115,177.645,179
ablation,Full HAT,167104,3,0.0005,200,-92.72037506103516,25485.966155439615,0.6810729000717402,923,40.075,159.825,180
ablation,Full HAT,167104,4,0.0005,200,-92.42695617675781,31422.740094542503,0.6695991999004036,959,46.815,182.925,182
ablation,Full HAT,167104,5,0.0005,200,-92.66533660888672,23821.514554083347,0.5618904000148177,852,29.93,105.035,187
ablation,Full HAT,167104,6,0.0005,200,-93.90509796142578,24475.197212934494,0.5622198998462409,896,34.775,132.875,175
ablation,Full HAT,167104,7,0.0005,200,-93.27544403076172,29208.49782255292,0.6918798999395221,968,47.405,182.025,187
ablation,Full HAT,167104,8,0.0005,200,-92.43765258789062,19208.194708883762,0.5429734999779612,863,29.13,107.085,183
ablation,Full HAT,167104,9,0.0005,200,-92.208740234375,26643.53603708744,0.6963456000667065,945,45.645,179.425,177
ablation,Full HAT,167149,0,0.0005,200,-97.091552734375,30425.08360236883,0.5939034000039101,954,46.345,181.575,183
ablation,Full HAT,167149,1,0.0005,200,-97.22335815429688,30307.504320144653,0.5777416999917477,883,36.0,142.145,178
ablation,Full HAT,167149,2,0.0005,200,-96.46641540527344,34141.31654006243,0.6611864999867976,931,44.28,175.43,182
ablation,Full HAT,167149,3,0.0005,200,-96.55010223388672,30866.12546533346,0.6503545001614839,955,46.275,181.3,178
ablation,Full HAT,167149,4,0.0005,200,-97.2683334350586,33721.6965546608,0.7249859001021832,940,44.755,174.325,178
ablation,Full HAT,167149,5,0.0005,200,-96.42552185058594,37068.8935315609,0.7468016999773681,963,46.84,180.435,187
ablation,Full HAT,167149,6,0.0005,200,-95.60652160644531,13237.961678981781,0.6201587999239564,786,14.415,60.215,187
ablation,Full HAT,167149,7,0.0005,200,-96.98534393310547,25059.816105246544,0.5928965001367033,894,36.87,145.54,193
ablation,Full HAT,167149,8,0.0005,200,-96.83668518066406,27718.92845404148,0.657789499964565,938,42.865,167.535,183
ablation,Full HAT,167149,9,0.0005,200,-96.82586669921875,29575.16915822029,0.6824942000675946,935,43.96,180.24,183
ablation,Full HAT,167152,0,0.0005,200,-96.76915740966797,52244.6450240612,0.62045370019041,935,42.41,171.495,186
ablation,Full HAT,167152,1,0.0005,200,-95.96946716308594,62669.16980242729,0.669989800080657,953,46.04,175.44,188
ablation,Full HAT,167152,2,0.0005,200,-96.29664611816406,54812.27241516113,0.5677000000141561,905,38.735,155.63,187
ablation,Full HAT,167152,3,0.0005,200,-96.03533172607422,54673.94783234596,0.6854141999501735,944,43.45,168.885,182
ablation,Full HAT,167152,4,0.0005,200,-96.1723861694336,57272.62837779522,0.5896856000181288,953,45.765,178.915,181
ablation,Full HAT,167152,5,0.0005,200,-96.05050659179688,59042.11284780502,0.6121586998924613,953,42.85,164.88,190
ablation,Full HAT,167152,6,0.0005,200,-96.03865814208984,58019.91313421726,0.6461197000462562,943,43.805,170.28,181
ablation,Full HAT,167152,7,0.0005,200,-96.22058868408203,53743.19581735134,0.6212337999604642,962,43.085,131.83,190
ablation,Full HAT,167152,8,0.0005,200,-96.20612335205078,50711.125433802605,0.6104117999784648,930,42.335,170.895,187
ablation,Full HAT,167152,9,0.0005,200,-96.49913787841797,59119.428302168846,0.6662991000339389,975,48.91,190.9,190
ablation,Full HAT,167161,0,0.0005,200,-82.59354400634766,33763.62824809551,0.6250250998418778,950,44.945,180.18,189
ablation,Full HAT,167161,1,0.0005,200,-82.80874633789062,41461.63840723038,0.6467963999602944,959,46.775,122.645,185
ablation,Full HAT,167161,2,0.0005,200,-84.90199279785156,36455.25250995159,0.643669500015676,914,41.12,169.735,176
ablation,Full HAT,167161,3,0.0005,200,-84.0370101928711,36157.9835255146,0.652643300127238,953,45.855,179.27,184
ablation,Full HAT,167161,4,0.0005,200,-83.74588775634766,35389.669822216034,0.6542340000160038,928,43.625,175.435,175
ablation,Full HAT,167161,5,0.0005,200,-82.73908233642578,38261.28185725212,0.6402638999279588,935,43.62,168.75,181
ablation,Full HAT,167161,6,0.0005,200,-86.52510833740234,36682.021475315094,0.6487944000400603,944,44.145,167.86,175
ablation,Full HAT,167161,7,0.0005,200,-84.32913970947266,31571.501209259033,0.6934803000185639,932,40.17,163.77,184
ablation,Full HAT,167161,8,0.0005,200,-77.29644775390625,15512.15485906601,0.5654277999419719,776,15.13,49.985,181
ablation,Full HAT,167161,9,0.0005,200,-79.77906799316406,23248.322575449944,0.572689900174737,859,24.75,137.735,180
ablation,Full HAT,167168,0,0.0005,200,-80.32540893554688,39283.033072173595,0.6392170998733491,947,44.77,177.07,180
